ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE
10,30,150,5,1,10,1,33578.16220000039,84.16075650118204,485.16508693820333,-2076.7255037313416,423,0.23362022860820386,3
10,30,150,5,1,100,1,33578.16220000039,84.16075650118204,485.16508693820333,-2076.7255037313416,423,0.23362022860820386,3
10,30,150,5,2,10,1,14821.427250000539,84.16289592760181,496.6958583333363,-2216.1143542857158,221,0.22412916435146155,2
10,30,150,5,2,100,1,14821.427250000539,84.16289592760181,496.6958583333363,-2216.1143542857158,221,0.22412916435146155,2
10,30,150,7,1,10,1,33578.16220000039,84.16075650118204,485.16508693820333,-2076.7255037313416,423,0.23362022860820386,3
10,30,150,7,1,100,1,33578.16220000039,84.16075650118204,485.16508693820333,-2076.7255037313416,423,0.23362022860820386,3
10,30,150,7,2,10,1,14821.427250000539,84.16289592760181,496.6958583333363,-2216.1143542857158,221,0.22412916435146155,2
10,30,150,7,2,100,1,14821.427250000539,84.16289592760181,496.6958583333363,-2216.1143542857158,221,0.22412916435146155,2
10,30,150,10,1,10,1,33578.16220000039,84.16075650118204,485.16508693820333,-2076.7255037313416,423,0.23362022860820386,3
10,30,150,10,1,100,1,33578.16220000039,84.16075650118204,485.16508693820333,-2076.7255037313416,423,0.23362022860820386,3
10,30,150,10,2,10,1,14821.427250000539,84.16289592760181,496.6958583333363,-2216.1143542857158,221,0.22412916435146155,2
10,30,150,10,2,100,1,14821.427250000539,84.16289592760181,496.6958583333363,-2216.1143542857158,221,0.22412916435146155,2
10,30,150,12,1,10,1,33578.16220000039,84.16075650118204,485.16508693820333,-2076.7255037313416,423,0.23362022860820386,3
