ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,SCORE
75,200,25,2,1,100,1,35350.0,20.32258064516129,2977.18253968254,-616.244939271255,310,4.831167527644493,0.11725682063189319
10,1600,175,2,2,100,1,35337.5,30.53435114503817,6663.75,-2540.796703296703,131,2.6227009785370603,0.11721535782403185
10,100,150,1,2,100,1,35337.5,64.12213740458014,1630.5059523809523,-2162.234042553192,131,0.7540839336964797,0.11721535782403185
10,100,150,2,2,100,1,35337.5,64.12213740458014,1630.5059523809523,-2162.234042553192,131,0.7540839336964797,0.11721535782403185
75,1600,100,1,2,100,1,35112.5,34.0,3478.676470588235,-1437.3737373737374,150,2.42016142366996,0.11646902728252757
100,400,50,1,1,100,1,35037.5,30.422535211267604,2475.810185185185,-940.6882591093116,355,2.631913560321673,0.11622025043535948
25,800,10,1,2,100,1,35000.0,13.86861313868613,4232.894736842105,-384.957627118644,137,10.995741969122037,0.11609586201177544
25,400,150,2,2,100,1,34750.0,32.11678832116788,5341.193181818182,-2153.360215053764,137,2.480399305457042,0.11526660585454847
25,75,175,1,2,100,1,34637.5,72.26277372262774,1323.358585858586,-2536.184210526316,137,0.5217911933865241,0.11489344058379633
25,75,175,2,2,100,1,34637.5,72.26277372262774,1323.358585858586,-2536.184210526316,137,0.5217911933865241,0.11489344058379633
50,100,175,1,2,100,1,34425.0,66.90647482014388,1613.3064516129032,-2513.3152173913045,139,0.641903745479023,0.11418857285015341
50,100,175,2,2,100,1,34425.0,66.90647482014388,1613.3064516129032,-2513.3152173913045,139,0.641903745479023,0.11418857285015341
75,3200,10,2,1,100,1,34412.5,10.32258064516129,4919.921875,-442.5359712230216,310,11.117563757366389,0.11414711004229207
75,12800,10,2,1,100,1,34412.5,10.32258064516129,4919.921875,-442.5359712230216,310,11.117563757366389,0.11414711004229207
75,6400,10,2,1,100,1,34412.5,10.32258064516129,4919.921875,-442.5359712230216,310,11.117563757366389,0.11414711004229207
100,800,175,2,2,100,1,34350.0,31.61290322580645,5980.357142857143,-2440.448113207547,155,2.450515997652988,0.11393979600298532
100,800,25,1,2,100,1,34125.0,18.70967741935484,3796.551724137931,-602.9761904761905,155,6.296354290771692,0.11319346546148105
50,1600,200,2,2,100,1,34062.5,33.093525179856115,6410.869565217391,-2804.7043010752686,139,2.2857559575031097,0.11298615142217432
50,75,175,2,2,100,1,34000.0,71.94244604316546,1323.5,-2521.794871794872,139,0.5248246059989833,0.11277883738286756
50,75,175,1,2,100,1,34000.0,71.94244604316546,1323.5,-2521.794871794872,139,0.5248246059989833,0.11277883738286756
75,800,50,2,2,100,1,33400.0,15.333333333333332,6371.739130434783,-890.9448818897638,150,7.151664777421276,0.11078862260552284
100,200,50,1,1,100,1,33137.5,30.704225352112672,2426.605504587156,-940.4979674796748,355,2.5801283878262047,0.10991790364043454
25,800,125,2,2,100,1,33075.0,23.35766423357664,6998.046875,-1817.7380952380952,137,3.84986533171786,0.10971058960112778
10,75,150,2,2,100,1,33037.5,70.22900763358778,1292.5271739130435,-2201.923076923077,131,0.5869992405543952,0.10958620117754374
10,75,150,1,2,100,1,33037.5,70.22900763358778,1292.5271739130435,-2201.923076923077,131,0.5869992405543952,0.10958620117754374
25,800,10,2,1,100,1,33025.0,7.723577235772358,6761.184210526316,-420.4295154185022,246,16.08161169131079,0.1095447383696824
75,3200,50,2,1,100,1,32900.0,17.419354838709676,4927.777777777777,-910.9375,310,5.409567371831522,0.10913011029106891
75,6400,50,2,1,100,1,32900.0,17.419354838709676,4927.777777777777,-910.9375,310,5.409567371831522,0.10913011029106891
75,12800,50,2,1,100,1,32900.0,17.419354838709676,4927.777777777777,-910.9375,310,5.409567371831522,0.10913011029106891
75,50,200,2,2,100,1,32600.0,79.33333333333333,986.8697478991596,-2736.6935483870966,150,0.3606065971401084,0.10813500290239655
75,50,200,1,2,100,1,32600.0,79.33333333333333,986.8697478991596,-2736.6935483870966,150,0.3606065971401084,0.10813500290239655
50,800,200,1,2,100,1,32500.0,49.64028776978417,3311.5942028985505,-2800.0,139,1.1827122153209109,0.10780330043950577
100,10,200,1,1,100,1,32450.0,88.45070422535211,461.265923566879,-2741.1585365853657,355,0.1682740773328176,0.10763744920806037
100,10,200,2,1,100,1,32450.0,88.45070422535211,461.265923566879,-2741.1585365853657,355,0.1682740773328176,0.10763744920806037
10,75,200,2,2,100,1,32450.0,74.80916030534351,1306.25,-2895.833333333333,131,0.4510791366906475,0.10763744920806037
10,75,200,1,2,100,1,32450.0,74.80916030534351,1306.25,-2895.833333333333,131,0.4510791366906475,0.10763744920806037
10,3200,200,2,2,100,1,32450.0,32.06106870229007,6765.476190476191,-2828.089887640449,131,2.3922422763304767,0.10763744920806037
100,800,10,2,2,100,1,32350.0,7.741935483870968,7554.166666666667,-407.6923076923077,155,18.529088050314467,0.10730574674516959
50,800,10,2,1,100,1,32150.0,8.058608058608058,6493.75,-441.08565737051794,273,14.722197132211807,0.106642341819388
50,800,25,2,1,100,1,32100.0,10.622710622710622,6215.086206896552,-607.1209016393443,273,10.236982765894918,0.10647649058794262
