ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK
10,50,50,1,2,10,1,2637.5,24.58628841607565,924.2788461538462,-336.6771159874608,846,2.745297503939264
10,50,50,1,5,10,1,9262.5,24.120603015075375,930.5989583333334,-341.05960264900665,796,2.728552285598705
10,50,50,1,10,10,1,12187.5,24.778761061946902,925.0,-353.97058823529414,678,2.6132114665558785
10,50,50,2,1,10,1,6412.5,24.708624708624708,921.3443396226415,-332.5077399380805,858,2.7708959189768456
10,50,50,2,2,10,1,2637.5,24.58628841607565,924.2788461538462,-336.6771159874608,846,2.745297503939264
10,50,50,2,5,10,1,9262.5,24.120603015075375,930.5989583333334,-341.05960264900665,796,2.728552285598705
10,50,50,2,10,10,1,12187.5,24.778761061946902,925.0,-353.97058823529414,678,2.6132114665558785
10,50,75,1,1,10,1,8725.0,29.13752913752914,907.3,-376.9736842105263,858,2.4067993019197207
10,50,75,1,2,10,1,5662.5,29.078014184397162,909.5528455284552,-382.0,846,2.3810283914357466
10,50,75,1,5,10,1,8087.5,28.643216080402013,913.5964912280701,-387.9401408450704,796,2.3549934514070516
10,50,75,1,10,10,1,12462.5,29.20353982300885,909.469696969697,-406.0416666666667,678,2.239843276272214
10,50,75,2,1,10,1,8725.0,29.13752913752914,907.3,-376.9736842105263,858,2.4067993019197207
10,50,75,2,2,10,1,5662.5,29.078014184397162,909.5528455284552,-382.0,846,2.3810283914357466
10,50,75,2,5,10,1,8087.5,28.643216080402013,913.5964912280701,-387.9401408450704,796,2.3549934514070516
10,50,75,2,10,10,1,12462.5,29.20353982300885,909.469696969697,-406.0416666666667,678,2.239843276272214
10,50,100,1,1,10,1,15087.5,32.400932400932405,895.5035971223022,-408.5344827586207,858,2.191990235623276
10,50,100,1,2,10,1,13087.5,32.38770685579196,897.3540145985402,-414.24825174825173,846,2.166222816418506
10,50,100,1,5,10,1,15187.5,31.65829145728643,899.5039682539683,-419.5772058823529,796,2.143834211304091
10,50,100,1,10,10,1,19600.0,32.15339233038348,896.9036697247707,-443.1521739130435,678,2.0239180185106425
